Order_ID,Order_Date,Product,Category,Region,Quantity,Unit_Price,Unit_Cost,Sales_Channel,Payment_Method,Salesperson,Sales,Total_Cost,Profit,Profit_Margin
ORD-05748,6/3/2025,Printer,Office,Lahore,9,358.42,267.6,Retail Store,JazzCash,Usman,3225.78,2408.4,817.38,25.34
ORD-01727,10/12/2025,Printer,Office,Lahore,6,206.28,130.56,Retail Store,Cash,Maham,1237.68,783.36,454.32,36.71
ORD-09069,6/6/2025,External SSD,Electronics,Lahore,6,130.57,101.18,Corporate,JazzCash,Hina,783.42,607.08,176.34,22.51
ORD-04343,8/17/2025,Wireless Mouse,Accessories,Peshawar,2,29.28,17.12,Corporate,Debit Card,Ali,58.56,34.24,24.32,41.53
ORD-06435,12/11/2025,Desk,Furniture,Karachi,4,308.07,229.96,Retail Store,Cash,Hina,1232.28,919.84,312.44,25.35
ORD-02305,1/22/2025,Headphones,Accessories,Karachi,2,153.18,60.78,Retail Store,Cash,Ali,306.36,121.56,184.8,60.32
ORD-05051,9/26/2025,Webcam,Accessories,Karachi,9,153.95,36.55,Corporate,JazzCash,Ali,1385.55,328.95,1056.6,76.26
ORD-05813,7/26/2025,Printer,Office,Lahore,8,376.46,280.57,Retail Store,Bank Transfer,Zoya,3011.68,2244.56,767.12,25.47
ORD-01651,10/1/2025,Office Chair,Furniture,Lahore,2,395.56,237.63,Corporate,Credit Card,Maham,791.12,475.26,315.86,39.93
ORD-06996,5/13/2025,Printer,Office,Islamabad,8,331.9,157.59,Online,Bank Transfer,Hamza,2655.2,1260.72,1394.48,52.52
ORD-07643,4/28/2025,Office Chair,Furniture,Rawalpindi,4,368.59,173.83,Corporate,Debit Card,Ayesha,1474.36,695.32,779.04,52.84
ORD-03603,2/1/2025,Webcam,Accessories,Multan,10,117.54,31.17,Corporate,Cash,Hina,1175.4,311.7,863.7,73.48
ORD-00252,1/14/2025,Printer,Office,Rawalpindi,4,351.07,314.7,Corporate,Bank Transfer,Ali,1404.28,1258.8,145.48,10.36
ORD-05849,12/25/2025,Office Chair,Furniture,Rawalpindi,7,299.33,159.02,Retail Store,Bank Transfer,Ayesha,2095.31,1113.14,982.17,46.87
ORD-07087,2/13/2025,Wireless Mouse,Accessories,Rawalpindi,4,70.49,46.2,Retail Store,Credit Card,Usman,281.96,184.8,97.16,34.46
ORD-06585,1/26/2025,Smartphone,Electronics,Lahore,3,750.66,554.67,Online,Bank Transfer,Danish,2251.98,1664.01,587.97,26.11
ORD-00036,10/31/2025,Monitor,Electronics,Islamabad,1,270.58,166.77,Retail Store,Bank Transfer,Danish,270.58,166.77,103.81,38.37
ORD-07226,7/5/2025,Headphones,Accessories,Karachi,4,177.1,112.47,Online,JazzCash,Ayesha,708.4,449.88,258.52,36.49
ORD-00081,1/20/2025,Monitor,Electronics,Karachi,9,271.22,219.13,Online,Credit Card,Ali,2440.98,1972.17,468.81,19.21
ORD-03283,7/13/2025,Smartphone,Electronics,Lahore,3,1191.21,233.16,Online,Cash,Hamza,3573.63,699.48,2874.15,80.43
ORD-08595,12/29/2025,Headphones,Accessories,Lahore,10,102.9,66.05,Retail Store,JazzCash,Zoya,1029,660.5,368.5,35.81
ORD-03025,1/31/2025,Wireless Mouse,Accessories,Rawalpindi,1,29.27,19.14,Online,JazzCash,Hina,29.27,19.14,10.13,34.61
ORD-05663,12/19/2025,Headphones,Accessories,Faisalabad,1,78.93,34.61,Online,Credit Card,Usman,78.93,34.61,44.32,56.15
ORD-09717,10/8/2025,Headphones,Accessories,Faisalabad,3,87.63,33.84,Online,Debit Card,Danish,262.89,101.52,161.37,61.38
ORD-03064,2/7/2025,Wireless Mouse,Accessories,Lahore,4,31.21,17.36,Corporate,Bank Transfer,Hina,124.84,69.44,55.4,44.38
ORD-04534,1/10/2025,Printer,Office,Multan,4,452.1,340.16,Retail Store,JazzCash,Maham,1808.4,1360.64,447.76,24.76
ORD-00305,2/28/2025,Office Chair,Furniture,Sialkot,8,188.49,154.38,Online,Bank Transfer,Zoya,1507.92,1235.04,272.88,18.1
ORD-01176,4/8/2025,Webcam,Accessories,Islamabad,8,108.94,84.87,Online,JazzCash,Maham,871.52,678.96,192.56,22.09
ORD-05936,2/23/2025,Tablet,Electronics,Peshawar,8,284.6,252.43,Online,JazzCash,Zoya,2276.8,2019.44,257.36,11.3
ORD-06292,12/18/2025,Keyboard,Accessories,Multan,10,48.48,22.49,Online,Credit Card,Hamza,484.8,224.9,259.9,53.61
ORD-01069,6/10/2025,Laptop,Electronics,Karachi,2,1186.67,903.89,Online,Bank Transfer,Zoya,2373.34,1807.78,565.56,23.83
ORD-03020,2/9/2025,Desk,Furniture,Islamabad,1,682.1,256.53,Online,Credit Card,Danish,682.1,256.53,425.57,62.39
ORD-08813,1/26/2025,Desk,Furniture,Faisalabad,10,680.16,329.35,Corporate,Bank Transfer,Hamza,6801.6,3293.5,3508.1,51.58
ORD-00734,8/22/2025,Headphones,Accessories,Lahore,8,142.84,42.22,Retail Store,Bank Transfer,Ayesha,1142.72,337.76,804.96,70.44
ORD-04581,4/4/2025,External SSD,Electronics,Peshawar,2,84.87,58.69,Online,JazzCash,Danish,169.74,117.38,52.36,30.85
ORD-06759,4/21/2025,Desk,Furniture,Sialkot,3,581.46,237.95,Retail Store,Bank Transfer,Zoya,1744.38,713.85,1030.53,59.08
ORD-08036,4/27/2025,Monitor,Electronics,Karachi,3,471.63,175.98,Retail Store,Bank Transfer,Hina,1414.89,527.94,886.95,62.69
ORD-07415,10/10/2025,Laptop,Electronics,Peshawar,10,1340.88,999.2,Corporate,Bank Transfer,Usman,13408.8,9992,3416.8,25.48
ORD-06459,5/26/2025,External SSD,Electronics,Sialkot,1,132.28,98.81,Retail Store,Cash,Hamza,132.28,98.81,33.47,25.3
ORD-03016,10/23/2025,Laptop,Electronics,Islamabad,2,1488.72,665.18,Corporate,,Zoya,2977.44,1330.36,1647.08,55.32
ORD-06004,9/4/2025,Smartphone,Electronics,Rawalpindi,5,700.2,471.91,Retail Store,JazzCash,Ali,3501,2359.55,1141.45,32.6
ORD-01794,1/22/2025,Office Chair,Furniture,Sialkot,3,427.76,111.61,Retail Store,Debit Card,Ali,1283.28,334.83,948.45,73.91
ORD-03913,2/12/2025,External SSD,Electronics,Sialkot,8,250.09,102.08,Online,JazzCash,Danish,2000.72,816.64,1184.08,59.18
ORD-09665,8/12/2025,Laptop,Electronics,Faisalabad,6,986.92,761.24,Corporate,Bank Transfer,Maham,5921.52,4567.44,1354.08,22.87
ORD-09278,5/19/2025,Office Chair,Furniture,Rawalpindi,7,214.77,121.96,Corporate,JazzCash,Usman,1503.39,853.72,649.67,43.21
ORD-02904,3/27/2025,Office Chair,Furniture,Faisalabad,9,165.87,130.36,Online,Credit Card,Bilal,1492.83,1173.24,319.59,21.41
ORD-04966,3/17/2025,Laptop,Electronics,Multan,10,936.84,760.14,Online,Credit Card,Danish,9368.4,7601.4,1767,18.86
ORD-05379,2/22/2025,Tablet,Electronics,Sialkot,6,360.07,268.64,Corporate,JazzCash,Ali,2160.42,1611.84,548.58,25.39
ORD-01209,4/20/2025,Webcam,Accessories,Lahore,7,56.49,26.86,Corporate,JazzCash,Sara,395.43,188.02,207.41,52.45
ORD-00040,9/27/2025,Webcam,Accessories,Faisalabad,1,60.07,28.6,Corporate,Cash,Ayesha,60.07,28.6,31.47,52.39
ORD-00511,10/19/2025,Wireless Mouse,Accessories,Karachi,3,43.01,30.99,Corporate,Cash,Ali,129.03,92.97,36.06,27.95
ORD-01836,8/20/2025,Monitor,Electronics,Peshawar,6,506.67,328.31,Online,JazzCash,Zoya,3040.02,1969.86,1070.16,35.2
ORD-09367,6/13/2025,External SSD,Electronics,Karachi,9,200.76,138.03,Corporate,Cash,Sara,1806.84,1242.27,564.57,31.25
ORD-01112,5/20/2025,Monitor,Electronics,Faisalabad,6,306.19,269.55,Retail Store,Cash,Maham,1837.14,1617.3,219.84,11.97
ORD-02484,6/26/2025,External SSD,Electronics,Sialkot,4,213.78,71.64,Retail Store,Cash,Hina,855.12,286.56,568.56,66.49
ORD-09609,8/17/2025,Office Chair,Furniture,Peshawar,5,208.18,149.07,Online,Debit Card,Bilal,1040.9,745.35,295.55,28.39
ORD-05598,5/22/2025,Tablet,Electronics,Rawalpindi,1,759.76,261.43,Corporate,Credit Card,Zoya,759.76,261.43,498.33,65.59
ORD-00961,3/7/2025,Tablet,Electronics,Rawalpindi,10,416.46,372.12,Corporate,Cash,Maham,4164.6,3721.2,443.4,10.65
ORD-05994,5/30/2025,Monitor,Electronics,Rawalpindi,9,505.16,193.8,Online,Bank Transfer,Usman,4546.44,1744.2,2802.24,61.64
ORD-07780,6/28/2025,Smartphone,Electronics,Sialkot,6,471.55,290.65,Retail Store,Credit Card,Hina,2829.3,1743.9,1085.4,38.36
ORD-08778,3/8/2025,Desk,Furniture,Multan,5,690.85,272.37,Corporate,Debit Card,Hamza,3454.25,1361.85,2092.4,60.57
ORD-06243,3/3/2025,Smartphone,Electronics,Islamabad,10,963.27,511.08,Retail Store,JazzCash,Zoya,9632.7,5110.8,4521.9,46.94
ORD-04818,12/13/2025,Tablet,Electronics,Rawalpindi,4,677.27,537.67,Corporate,Bank Transfer,Maham,2709.08,2150.68,558.4,20.61
ORD-07440,3/13/2025,Headphones,Accessories,Rawalpindi,2,64.28,57.12,Online,Bank Transfer,Usman,128.56,114.24,14.32,11.14
ORD-00933,7/5/2025,Desk,Furniture,Sialkot,5,346.22,299.8,Online,Credit Card,Zoya,1731.1,1499,232.1,13.41
ORD-04914,11/26/2025,External SSD,Electronics,Rawalpindi,1,262.26,202.04,Corporate,Debit Card,Maham,262.26,202.04,60.22,22.96
ORD-00389,1/13/2025,Laptop,Electronics,Peshawar,6,1219.09,790.67,Online,Bank Transfer,Maham,7314.54,4744.02,2570.52,35.14
ORD-03398,11/26/2025,Office Chair,Furniture,Lahore,7,219.69,108.1,Corporate,JazzCash,Hina,1537.83,756.7,781.13,50.79
ORD-07471,7/23/2025,Keyboard,Accessories,Multan,6,40.31,35.34,Online,Debit Card,Bilal,241.86,212.04,29.82,12.33
ORD-04503,11/5/2025,Smartphone,Electronics,Islamabad,10,320.71,278.28,Retail Store,Cash,Sara,3207.1,2782.8,424.3,13.23
ORD-07641,8/12/2025,Webcam,Accessories,Peshawar,9,49.5,33.63,Retail Store,Cash,Sara,445.5,302.67,142.83,32.06
ORD-06569,1/14/2025,Wireless Mouse,Accessories,Multan,9,46.42,10.81,Online,JazzCash,Danish,417.78,97.29,320.49,76.71
ORD-08546,6/14/2025,Office Chair,Furniture,Peshawar,6,381.84,145.36,Corporate,Debit Card,Hamza,2291.04,872.16,1418.88,61.93
ORD-03556,3/3/2025,Office Chair,Furniture,Rawalpindi,6,212.31,121.24,Online,JazzCash,Danish,1273.86,727.44,546.42,42.89
ORD-00669,12/4/2025,External SSD,Electronics,Faisalabad,8,273.23,108.14,Online,Credit Card,Danish,2185.84,865.12,1320.72,60.42
ORD-06075,4/12/2025,Office Chair,Furniture,Faisalabad,1,410.22,283.57,Retail Store,Credit Card,Zoya,410.22,283.57,126.65,30.87
ORD-01057,10/12/2025,Headphones,Accessories,Lahore,1,178.34,81.38,Retail Store,Bank Transfer,Hina,178.34,81.38,96.96,54.37
ORD-05771,9/3/2025,Printer,Office,Sialkot,7,311.71,189.75,Corporate,Bank Transfer,Danish,2181.97,1328.25,853.72,39.13
ORD-02349,8/6/2025,Webcam,Accessories,Peshawar,2,152.44,60.27,Corporate,Credit Card,Hina,304.88,120.54,184.34,60.46
ORD-01769,4/11/2025,Wireless Mouse,Accessories,Islamabad,7,76.33,20.81,Retail Store,Bank Transfer,Maham,534.31,145.67,388.64,72.74
ORD-06855,4/21/2025,Office Chair,Furniture,Peshawar,10,332.37,101.2,Retail Store,Credit Card,Zoya,3323.7,1012,2311.7,69.55
ORD-01340,2/3/2025,Keyboard,Accessories,Rawalpindi,2,49.4,39.17,Corporate,JazzCash,Zoya,98.8,78.34,20.46,20.71
ORD-00484,7/26/2025,Headphones,Accessories,Islamabad,5,68.01,37.05,Corporate,Bank Transfer,Ayesha,340.05,185.25,154.8,45.52
ORD-04413,5/26/2025,Headphones,Accessories,Faisalabad,5,150.49,73.04,Corporate,JazzCash,Ali,752.45,365.2,387.25,51.47
ORD-06120,2/27/2025,Printer,Office,Peshawar,9,249.28,135.66,Corporate,Bank Transfer,Usman,2243.52,1220.94,1022.58,45.58
ORD-04658,12/8/2025,Desk,Furniture,Islamabad,2,698.76,272.36,Corporate,Debit Card,Bilal,1397.52,544.72,852.8,61.02
ORD-07388,8/4/2025,Headphones,Accessories,Peshawar,2,218.39,79.55,Retail Store,Credit Card,Zoya,436.78,159.1,277.68,63.57
ORD-06163,7/31/2025,External SSD,Electronics,Multan,4,246.05,207.7,Retail Store,Bank Transfer,Hina,984.2,830.8,153.4,15.59
ORD-04223,8/17/2025,Smartphone,Electronics,Lahore,10,453.96,365.47,Online,Credit Card,Maham,4539.6,3654.7,884.9,19.49
ORD-09806,2/19/2025,Webcam,Accessories,Lahore,3,156.8,25.33,Online,Cash,Danish,470.4,75.99,394.41,83.85
ORD-02426,9/13/2025,Smartphone,Electronics,Islamabad,1,337.18,229.66,Online,Cash,Ali,337.18,229.66,107.52,31.89
ORD-00719,8/19/2025,Smartphone,Electronics,Sialkot,3,682.88,598.42,Corporate,Bank Transfer,Sara,2048.64,1795.26,253.38,12.37
ORD-08458,7/4/2025,Wireless Mouse,Accessories,Sialkot,4,33.24,11.47,Corporate,Bank Transfer,Usman,132.96,45.88,87.08,65.49
ORD-06118,6/11/2025,Monitor,Electronics,Sialkot,1,500.74,266.69,Retail Store,Debit Card,Maham,500.74,266.69,234.05,46.74
ORD-08580,8/12/2025,Desk,Furniture,Peshawar,4,625.09,477.47,Corporate,Bank Transfer,Sara,2500.36,1909.88,590.48,23.62
ORD-05101,11/26/2025,Keyboard,Accessories,Multan,4,38.05,21.45,Retail Store,Bank Transfer,Ayesha,152.2,85.8,66.4,43.63
ORD-05782,1/5/2025,Smartphone,Electronics,Karachi,8,451.06,351.23,Retail Store,Credit Card,Ayesha,3608.48,2809.84,798.64,22.13
ORD-06506,7/6/2025,Smartphone,Electronics,Faisalabad,3,549.71,447.45,Retail Store,Bank Transfer,Maham,1649.13,1342.35,306.78,18.6
ORD-02233,11/20/2025,Headphones,Accessories,Multan,10,162.94,83.14,Corporate,Cash,Danish,1629.4,831.4,798,48.98
ORD-01483,3/24/2025,Keyboard,Accessories,Faisalabad,6,83.8,69.08,Online,JazzCash,Hamza,502.8,414.48,88.32,17.57
ORD-04394,1/23/2025,Wireless Mouse,Accessories,Peshawar,8,42.39,26.82,Online,JazzCash,Zoya,339.12,214.56,124.56,36.73
ORD-05214,6/20/2025,Headphones,Accessories,Peshawar,3,195.82,82.72,Corporate,Bank Transfer,Zoya,587.46,248.16,339.3,57.76
ORD-06068,1/18/2025,Headphones,Accessories,Faisalabad,5,141.81,64.95,Corporate,Credit Card,Usman,709.05,324.75,384.3,54.2
ORD-08966,3/24/2025,Headphones,Accessories,Rawalpindi,10,64.24,41.79,Corporate,Credit Card,Maham,642.4,417.9,224.5,34.95
ORD-08505,7/12/2025,Smartphone,Electronics,Faisalabad,10,1044.88,555.61,Corporate,JazzCash,Maham,10448.8,5556.1,4892.7,46.83
ORD-04562,2/26/2025,Tablet,Electronics,Rawalpindi,3,784.44,268.76,Online,Bank Transfer,Hina,2353.32,806.28,1547.04,65.74
ORD-02456,3/26/2025,Office Chair,Furniture,Karachi,10,188.24,146.07,Online,Credit Card,Maham,1882.4,1460.7,421.7,22.4
ORD-08381,7/15/2025,Desk,Furniture,Multan,5,498.39,172.78,Online,JazzCash,Ayesha,2491.95,863.9,1628.05,65.33
ORD-02261,2/15/2025,Laptop,Electronics,Sialkot,3,1411.86,706.58,Corporate,Bank Transfer,Ali,4235.58,2119.74,2115.84,49.95
ORD-01108,9/24/2025,Headphones,Accessories,Lahore,1,61.28,32.93,Retail Store,Cash,Bilal,61.28,32.93,28.35,46.26
ORD-09017,10/11/2025,Webcam,Accessories,Islamabad,1,138.12,85.54,Corporate,Debit Card,Usman,138.12,85.54,52.58,38.07
ORD-00994,2/8/2025,Monitor,Electronics,Islamabad,1,464.18,164.78,Corporate,Cash,Maham,464.18,164.78,299.4,64.5
ORD-05555,5/10/2025,Monitor,Electronics,Rawalpindi,7,484.87,274.85,Corporate,Debit Card,Usman,3394.09,1923.95,1470.14,43.31
ORD-05730,4/11/2025,Printer,Office,Islamabad,2,264.93,187.07,Online,Debit Card,Ayesha,529.86,374.14,155.72,29.39
ORD-08211,10/27/2025,Smartphone,Electronics,Islamabad,8,407.91,323.74,Retail Store,Credit Card,Danish,3263.28,2589.92,673.36,20.63
ORD-09273,8/27/2025,Desk,Furniture,Rawalpindi,5,434.56,231.82,Retail Store,Bank Transfer,Bilal,2172.8,1159.1,1013.7,46.65
ORD-09993,7/21/2025,External SSD,Electronics,Lahore,5,258.92,208.41,Retail Store,Cash,Hamza,1294.6,1042.05,252.55,19.51
ORD-08084,9/18/2025,Tablet,Electronics,Sialkot,1,447.83,284.26,Retail Store,JazzCash,Danish,447.83,284.26,163.57,36.53
ORD-02317,11/17/2025,Headphones,Accessories,Karachi,4,171.57,118.27,Online,Credit Card,Bilal,686.28,473.08,213.2,31.07
ORD-02708,6/16/2025,Smartphone,Electronics,Multan,6,1196.67,463.15,Online,Credit Card,Danish,7180.02,2778.9,4401.12,61.3
ORD-00796,3/2/2025,Office Chair,Furniture,Rawalpindi,1,327.16,133,Corporate,Bank Transfer,Sara,327.16,133,194.16,59.35
ORD-07413,7/21/2025,Keyboard,Accessories,Karachi,8,61.8,52.76,Online,Credit Card,Usman,494.4,422.08,72.32,14.63
ORD-04419,9/17/2025,Monitor,Electronics,Islamabad,8,440.12,169.62,Retail Store,Cash,Sara,3520.96,1356.96,2164,61.46
ORD-00260,5/23/2025,Headphones,Accessories,Faisalabad,2,65.26,32.23,Corporate,Bank Transfer,Usman,130.52,64.46,66.06,50.61
ORD-04289,1/31/2025,Monitor,Electronics,Faisalabad,1,406.6,192.68,Corporate,Credit Card,Ali,406.6,192.68,213.92,52.61
ORD-02699,11/18/2025,Monitor,Electronics,Islamabad,1,241.54,177.95,Online,Bank Transfer,Bilal,241.54,177.95,63.59,26.33
ORD-02883,8/3/2025,External SSD,Electronics,Sialkot,3,257.18,124.73,Online,JazzCash,Zoya,771.54,374.19,397.35,51.5
ORD-00488,5/5/2025,Webcam,Accessories,Islamabad,1,137.07,84.76,Online,Cash,Hina,137.07,84.76,52.31,38.16
ORD-09894,4/5/2025,Monitor,Electronics,Rawalpindi,6,283.28,166.1,Retail Store,Credit Card,Danish,1699.68,996.6,703.08,41.37
ORD-04217,10/3/2025,Office Chair,Furniture,Islamabad,6,439.03,181.3,Online,Credit Card,Danish,2634.18,1087.8,1546.38,58.7
ORD-08260,8/18/2025,Laptop,Electronics,Lahore,1,1031.48,717.85,Online,JazzCash,Hina,1031.48,717.85,313.63,30.41
ORD-06311,11/17/2025,Headphones,Accessories,Faisalabad,5,50.79,35.57,Retail Store,JazzCash,Ali,253.95,177.85,76.1,29.97
ORD-03039,12/21/2025,Office Chair,Furniture,Rawalpindi,6,199.27,138.98,Retail Store,Debit Card,Zoya,1195.62,833.88,361.74,30.26
ORD-06913,7/6/2025,Keyboard,Accessories,Multan,3,93.92,52.86,Retail Store,Credit Card,Sara,281.76,158.58,123.18,43.72
ORD-04956,12/29/2025,Office Chair,Furniture,Faisalabad,6,222.34,174.29,Retail Store,Bank Transfer,Ayesha,1334.04,1045.74,288.3,21.61
ORD-00097,2/22/2025,Printer,Office,Multan,8,279.51,210.47,Corporate,Credit Card,Zoya,2236.08,1683.76,552.32,24.7
ORD-06606,9/4/2025,Laptop,Electronics,Karachi,6,1089.72,897.59,Corporate,Credit Card,Usman,6538.32,5385.54,1152.78,17.63
ORD-09191,5/24/2025,Keyboard,Accessories,Rawalpindi,6,113.67,40.71,Corporate,Debit Card,Usman,682.02,244.26,437.76,64.19
ORD-03264,7/15/2025,Headphones,Accessories,Faisalabad,1,90.8,75.54,Corporate,Bank Transfer,Maham,90.8,75.54,15.26,16.81
ORD-00120,5/8/2025,Smartphone,Electronics,Multan,6,1068.01,423.28,Retail Store,Debit Card,Ayesha,6408.06,2539.68,3868.38,60.37
ORD-01447,5/18/2025,Laptop,Electronics,Islamabad,1,1402.61,988.93,Retail Store,Credit Card,Usman,1402.61,988.93,413.68,29.49
ORD-09175,3/8/2025,Tablet,Electronics,Rawalpindi,3,726.75,554.63,Online,Credit Card,Zoya,2180.25,1663.89,516.36,23.68
ORD-03464,4/14/2025,Office Chair,Furniture,Sialkot,1,248.58,170.73,Retail Store,Bank Transfer,Sara,248.58,170.73,77.85,31.32
ORD-00034,7/9/2025,Smartphone,Electronics,Islamabad,2,584.34,456.16,Retail Store,Debit Card,Ayesha,1168.68,912.32,256.36,21.94
ORD-08960,10/1/2025,Monitor,Electronics,Lahore,2,333.44,284.27,Retail Store,JazzCash,Sara,666.88,568.54,98.34,14.75
ORD-09181,11/26/2025,Smartphone,Electronics,Karachi,9,1025.35,738.21,Online,Credit Card,Zoya,9228.15,6643.89,2584.26,28
ORD-05804,12/19/2025,Wireless Mouse,Accessories,Islamabad,10,51.96,40.68,Retail Store,JazzCash,Sara,519.6,406.8,112.8,21.71
ORD-04206,4/8/2025,Headphones,Accessories,Sialkot,8,99.11,77.45,Corporate,Bank Transfer,Bilal,792.88,619.6,173.28,21.85
ORD-06320,4/12/2025,Smartphone,Electronics,Islamabad,4,585.89,286.82,Online,Debit Card,Usman,2343.56,1147.28,1196.28,51.05
ORD-09162,5/12/2025,Smartphone,Electronics,Faisalabad,8,438.16,336.89,Retail Store,Bank Transfer,Hamza,3505.28,2695.12,810.16,23.11
ORD-01747,6/11/2025,External SSD,Electronics,Faisalabad,4,120.21,105.2,Online,Debit Card,Hina,480.84,420.8,60.04,12.49
ORD-07884,8/10/2025,Keyboard,Accessories,Peshawar,8,69.02,35.92,Corporate,Cash,Zoya,552.16,287.36,264.8,47.96
ORD-04915,10/22/2025,Desk,Furniture,Peshawar,3,492.35,338.24,Online,Debit Card,Sara,1477.05,1014.72,462.33,31.3
ORD-09386,3/8/2025,Laptop,Electronics,Peshawar,2,1162.8,923.59,Retail Store,Cash,Danish,2325.6,1847.18,478.42,20.57
ORD-09293,12/29/2025,Office Chair,Furniture,Islamabad,5,248.92,182.16,Online,Debit Card,Bilal,1244.6,910.8,333.8,26.82
ORD-04937,9/1/2025,Office Chair,Furniture,Peshawar,10,339.57,169.27,Corporate,Debit Card,Bilal,3395.7,1692.7,1703,50.15
ORD-02076,7/22/2025,Tablet,Electronics,Multan,2,770.93,494.78,Corporate,Bank Transfer,Hina,1541.86,989.56,552.3,35.82
ORD-00032,7/7/2025,Wireless Mouse,Accessories,Karachi,7,37.92,32.58,Online,Debit Card,Ali,265.44,228.06,37.38,14.08
ORD-05701,12/24/2025,Office Chair,Furniture,Multan,9,329.23,159.15,Online,JazzCash,Hamza,2963.07,1432.35,1530.72,51.66
ORD-03528,6/5/2025,Smartphone,Electronics,Islamabad,4,889.76,760.07,Corporate,JazzCash,Hina,3559.04,3040.28,518.76,14.58
ORD-00030,2/9/2025,Tablet,Electronics,Karachi,4,753.81,276.69,Online,Cash,Hina,3015.24,1106.76,1908.48,63.29
ORD-03182,12/3/2025,Wireless Mouse,Accessories,Lahore,3,74.8,14.84,Online,JazzCash,Usman,224.4,44.52,179.88,80.16
