Order_ID,Order_Date,Product,Category,Region,Quantity,Unit_Price,Unit_Cost,Sales_Channel,Payment_Method,Salesperson,Sales,Total_Cost,Profit,Profit_Margin,Order_Year,Order_Month,Order_Day
ORD-06435,2025-12-11,Desk,Furniture,Karachi,4,308.07,229.96,Retail Store,Cash,Hina,1232.28,919.84,312.44,25.35,2025,12,11
ORD-02305,2025-01-22,Headphones,Accessories,Karachi,2,153.18,60.78,Retail Store,Cash,Ali,306.36,121.56,184.8,60.32,2025,1,22
ORD-05051,2025-09-26,Webcam,Accessories,Karachi,9,153.95,36.55,Corporate,JazzCash,Ali,1385.55,328.95,1056.6,76.26,2025,9,26
ORD-05813,2025-07-26,Printer,Office,Lahore,8,376.46,280.57,Retail Store,Bank Transfer,Zoya,3011.68,2244.56,767.12,25.47,2025,7,26
ORD-01651,2025-10-01,Office Chair,Furniture,Lahore,2,395.56,237.63,Corporate,Credit Card,Maham,791.12,475.26,315.86,39.93,2025,10,1
ORD-06996,2025-05-13,Printer,Office,Islamabad,8,331.9,157.59,Online,Bank Transfer,Hamza,2655.2,1260.72,1394.48,52.52,2025,5,13
ORD-07643,2025-04-28,Office Chair,Furniture,Rawalpindi,4,368.59,173.83,Corporate,Debit Card,Ayesha,1474.36,695.32,779.04,52.84,2025,4,28
ORD-03603,2025-02-01,Webcam,Accessories,Multan,10,117.54,31.17,Corporate,Cash,Hina,1175.4,311.7,863.7,73.48,2025,2,1
ORD-00252,2025-01-14,Printer,Office,Rawalpindi,4,351.07,314.7,Corporate,Bank Transfer,Ali,1404.28,1258.8,145.48,10.36,2025,1,14
ORD-05849,2025-12-25,Office Chair,Furniture,Rawalpindi,7,299.33,159.02,Retail Store,Bank Transfer,Ayesha,2095.31,1113.14,982.17,46.87,2025,12,25
ORD-07087,2025-02-13,Wireless Mouse,Accessories,Rawalpindi,4,70.49,46.2,Retail Store,Credit Card,Usman,281.96,184.8,97.16,34.46,2025,2,13
ORD-06585,2025-01-26,Smartphone,Electronics,Lahore,3,750.66,554.67,Online,Bank Transfer,Danish,2251.98,1664.01,587.97,26.11,2025,1,26
ORD-00036,2025-10-31,Monitor,Electronics,Islamabad,1,270.58,166.77,Retail Store,Bank Transfer,Danish,270.58,166.77,103.81,38.37,2025,10,31
ORD-07226,2025-07-05,Headphones,Accessories,Karachi,4,177.1,112.47,Online,JazzCash,Ayesha,708.4,449.88,258.52,36.49,2025,7,5
ORD-00081,2025-01-20,Monitor,Electronics,Karachi,9,271.22,219.13,Online,Credit Card,Ali,2440.98,1972.17,468.81,19.21,2025,1,20
ORD-03283,2025-07-13,Smartphone,Electronics,Lahore,3,1191.21,233.16,Online,Cash,Hamza,3573.63,699.48,2874.15,80.43,2025,7,13
ORD-08595,2025-12-29,Headphones,Accessories,Lahore,10,102.9,66.05,Retail Store,JazzCash,Zoya,1029.0,660.5,368.5,35.81,2025,12,29
ORD-03025,2025-01-31,Wireless Mouse,Accessories,Rawalpindi,1,29.27,19.14,Online,JazzCash,Hina,29.27,19.14,10.13,34.61,2025,1,31
ORD-05663,2025-12-19,Headphones,Accessories,Faisalabad,1,78.93,34.61,Online,Credit Card,Usman,78.93,34.61,44.32,56.15,2025,12,19
ORD-09717,2025-10-08,Headphones,Accessories,Faisalabad,3,87.63,33.84,Online,Debit Card,Danish,262.89,101.52,161.37,61.38,2025,10,8
ORD-03064,2025-02-07,Wireless Mouse,Accessories,Lahore,4,31.21,17.36,Corporate,Bank Transfer,Hina,124.84,69.44,55.4,44.38,2025,2,7
ORD-04534,2025-01-10,Printer,Office,Multan,4,452.1,340.16,Retail Store,JazzCash,Maham,1808.4,1360.64,447.76,24.76,2025,1,10
ORD-00305,2025-02-28,Office Chair,Furniture,Sialkot,8,188.49,154.38,Online,Bank Transfer,Zoya,1507.92,1235.04,272.88,18.1,2025,2,28
ORD-01176,2025-04-08,Webcam,Accessories,Islamabad,8,108.94,84.87,Online,JazzCash,Maham,871.52,678.96,192.56,22.09,2025,4,8
ORD-05936,2025-02-23,Tablet,Electronics,Peshawar,8,284.6,252.43,Online,JazzCash,Zoya,2276.8,2019.44,257.36,11.3,2025,2,23
ORD-06292,2025-12-18,Keyboard,Accessories,Multan,10,48.48,22.49,Online,Credit Card,Hamza,484.8,224.9,259.9,53.61,2025,12,18
ORD-01069,2025-06-10,Laptop,Electronics,Karachi,2,1186.67,903.89,Online,Bank Transfer,Zoya,2373.34,1807.78,565.56,23.83,2025,6,10
ORD-03020,2025-02-09,Desk,Furniture,Islamabad,1,682.1,256.53,Online,Credit Card,Danish,682.1,256.53,425.57,62.39,2025,2,9
ORD-08813,2025-01-26,Desk,Furniture,Faisalabad,10,680.16,329.35,Corporate,Bank Transfer,Hamza,6801.6,3293.5,3508.1,51.58,2025,1,26
ORD-00734,2025-08-22,Headphones,Accessories,Lahore,8,142.84,42.22,Retail Store,Bank Transfer,Ayesha,1142.72,337.76,804.96,70.44,2025,8,22
ORD-04581,2025-04-04,External SSD,Electronics,Peshawar,2,84.87,58.69,Online,JazzCash,Danish,169.74,117.38,52.36,30.85,2025,4,4
ORD-06759,2025-04-21,Desk,Furniture,Sialkot,3,581.46,237.95,Retail Store,Bank Transfer,Zoya,1744.38,713.85,1030.53,59.08,2025,4,21
ORD-08036,2025-04-27,Monitor,Electronics,Karachi,3,471.63,175.98,Retail Store,Bank Transfer,Hina,1414.89,527.94,886.95,62.69,2025,4,27
ORD-07415,2025-10-10,Laptop,Electronics,Peshawar,10,1340.88,999.2,Corporate,Bank Transfer,Usman,13408.8,9992.0,3416.8,25.48,2025,10,10
ORD-06459,2025-05-26,External SSD,Electronics,Sialkot,1,132.28,98.81,Retail Store,Cash,Hamza,132.28,98.81,33.47,25.3,2025,5,26
ORD-03016,2025-10-23,Laptop,Electronics,Islamabad,2,1488.72,665.18,Corporate,0,Zoya,2977.44,1330.36,1647.08,55.32,2025,10,23
ORD-06004,2025-09-04,Smartphone,Electronics,Rawalpindi,5,700.2,471.91,Retail Store,JazzCash,Ali,3501.0,2359.55,1141.45,32.6,2025,9,4
ORD-01794,2025-01-22,Office Chair,Furniture,Sialkot,3,427.76,111.61,Retail Store,Debit Card,Ali,1283.28,334.83,948.45,73.91,2025,1,22
ORD-03913,2025-02-12,External SSD,Electronics,Sialkot,8,250.09,102.08,Online,JazzCash,Danish,2000.72,816.64,1184.08,59.18,2025,2,12
ORD-09665,2025-08-12,Laptop,Electronics,Faisalabad,6,986.92,761.24,Corporate,Bank Transfer,Maham,5921.52,4567.44,1354.08,22.87,2025,8,12
ORD-09278,2025-05-19,Office Chair,Furniture,Rawalpindi,7,214.77,121.96,Corporate,JazzCash,Usman,1503.39,853.72,649.67,43.21,2025,5,19
ORD-02904,2025-03-27,Office Chair,Furniture,Faisalabad,9,165.87,130.36,Online,Credit Card,Bilal,1492.83,1173.24,319.59,21.41,2025,3,27
ORD-04966,2025-03-17,Laptop,Electronics,Multan,10,936.84,760.14,Online,Credit Card,Danish,9368.4,7601.4,1767.0,18.86,2025,3,17
ORD-05379,2025-02-22,Tablet,Electronics,Sialkot,6,360.07,268.64,Corporate,JazzCash,Ali,2160.42,1611.84,548.58,25.39,2025,2,22
ORD-01209,2025-04-20,Webcam,Accessories,Lahore,7,56.49,26.86,Corporate,JazzCash,Sara,395.43,188.02,207.41,52.45,2025,4,20
ORD-00040,2025-09-27,Webcam,Accessories,Faisalabad,1,60.07,28.6,Corporate,Cash,Ayesha,60.07,28.6,31.47,52.39,2025,9,27
ORD-00511,2025-10-19,Wireless Mouse,Accessories,Karachi,3,43.01,30.99,Corporate,Cash,Ali,129.03,92.97,36.06,27.95,2025,10,19
ORD-01836,2025-08-20,Monitor,Electronics,Peshawar,6,506.67,328.31,Online,JazzCash,Zoya,3040.02,1969.86,1070.16,35.2,2025,8,20
ORD-09367,2025-06-13,External SSD,Electronics,Karachi,9,200.76,138.03,Corporate,Cash,Sara,1806.84,1242.27,564.57,31.25,2025,6,13
ORD-01112,2025-05-20,Monitor,Electronics,Faisalabad,6,306.19,269.55,Retail Store,Cash,Maham,1837.14,1617.3,219.84,11.97,2025,5,20
ORD-02484,2025-06-26,External SSD,Electronics,Sialkot,4,213.78,71.64,Retail Store,Cash,Hina,855.12,286.56,568.56,66.49,2025,6,26
ORD-09609,2025-08-17,Office Chair,Furniture,Peshawar,5,208.18,149.07,Online,Debit Card,Bilal,1040.9,745.35,295.55,28.39,2025,8,17
ORD-05598,2025-05-22,Tablet,Electronics,Rawalpindi,1,759.76,261.43,Corporate,Credit Card,Zoya,759.76,261.43,498.33,65.59,2025,5,22
ORD-00961,2025-03-07,Tablet,Electronics,Rawalpindi,10,416.46,372.12,Corporate,Cash,Maham,4164.6,3721.2,443.4,10.65,2025,3,7
ORD-05994,2025-05-30,Monitor,Electronics,Rawalpindi,9,505.16,193.8,Online,Bank Transfer,Usman,4546.44,1744.2,2802.24,61.64,2025,5,30
ORD-07780,2025-06-28,Smartphone,Electronics,Sialkot,6,471.55,290.65,Retail Store,Credit Card,Hina,2829.3,1743.9,1085.4,38.36,2025,6,28
ORD-08778,2025-03-08,Desk,Furniture,Multan,5,690.85,272.37,Corporate,Debit Card,Hamza,3454.25,1361.85,2092.4,60.57,2025,3,8
ORD-06243,2025-03-03,Smartphone,Electronics,Islamabad,10,963.27,511.08,Retail Store,JazzCash,Zoya,9632.7,5110.8,4521.9,46.94,2025,3,3
ORD-04818,2025-12-13,Tablet,Electronics,Rawalpindi,4,677.27,537.67,Corporate,Bank Transfer,Maham,2709.08,2150.68,558.4,20.61,2025,12,13
ORD-07440,2025-03-13,Headphones,Accessories,Rawalpindi,2,64.28,57.12,Online,Bank Transfer,Usman,128.56,114.24,14.32,11.14,2025,3,13
ORD-00933,2025-07-05,Desk,Furniture,Sialkot,5,346.22,299.8,Online,Credit Card,Zoya,1731.1,1499.0,232.1,13.41,2025,7,5
ORD-04914,2025-11-26,External SSD,Electronics,Rawalpindi,1,262.26,202.04,Corporate,Debit Card,Maham,262.26,202.04,60.22,22.96,2025,11,26
ORD-00389,2025-01-13,Laptop,Electronics,Peshawar,6,1219.09,790.67,Online,Bank Transfer,Maham,7314.54,4744.02,2570.52,35.14,2025,1,13
ORD-03398,2025-11-26,Office Chair,Furniture,Lahore,7,219.69,108.1,Corporate,JazzCash,Hina,1537.83,756.7,781.13,50.79,2025,11,26
ORD-07471,2025-07-23,Keyboard,Accessories,Multan,6,40.31,35.34,Online,Debit Card,Bilal,241.86,212.04,29.82,12.33,2025,7,23
ORD-04503,2025-11-05,Smartphone,Electronics,Islamabad,10,320.71,278.28,Retail Store,Cash,Sara,3207.1,2782.8,424.3,13.23,2025,11,5
ORD-07641,2025-08-12,Webcam,Accessories,Peshawar,9,49.5,33.63,Retail Store,Cash,Sara,445.5,302.67,142.83,32.06,2025,8,12
ORD-06569,2025-01-14,Wireless Mouse,Accessories,Multan,9,46.42,10.81,Online,JazzCash,Danish,417.78,97.29,320.49,76.71,2025,1,14
ORD-08546,2025-06-14,Office Chair,Furniture,Peshawar,6,381.84,145.36,Corporate,Debit Card,Hamza,2291.04,872.16,1418.88,61.93,2025,6,14
ORD-03556,2025-03-03,Office Chair,Furniture,Rawalpindi,6,212.31,121.24,Online,JazzCash,Danish,1273.86,727.44,546.42,42.89,2025,3,3
ORD-00669,2025-12-04,External SSD,Electronics,Faisalabad,8,273.23,108.14,Online,Credit Card,Danish,2185.84,865.12,1320.72,60.42,2025,12,4
ORD-06075,2025-04-12,Office Chair,Furniture,Faisalabad,1,410.22,283.57,Retail Store,Credit Card,Zoya,410.22,283.57,126.65,30.87,2025,4,12
ORD-01057,2025-10-12,Headphones,Accessories,Lahore,1,178.34,81.38,Retail Store,Bank Transfer,Hina,178.34,81.38,96.96,54.37,2025,10,12
ORD-05771,2025-09-03,Printer,Office,Sialkot,7,311.71,189.75,Corporate,Bank Transfer,Danish,2181.97,1328.25,853.72,39.13,2025,9,3
ORD-02349,2025-08-06,Webcam,Accessories,Peshawar,2,152.44,60.27,Corporate,Credit Card,Hina,304.88,120.54,184.34,60.46,2025,8,6
ORD-01769,2025-04-11,Wireless Mouse,Accessories,Islamabad,7,76.33,20.81,Retail Store,Bank Transfer,Maham,534.31,145.67,388.64,72.74,2025,4,11
ORD-06855,2025-04-21,Office Chair,Furniture,Peshawar,10,332.37,101.2,Retail Store,Credit Card,Zoya,3323.7,1012.0,2311.7,69.55,2025,4,21
ORD-01340,2025-02-03,Keyboard,Accessories,Rawalpindi,2,49.4,39.17,Corporate,JazzCash,Zoya,98.8,78.34,20.46,20.71,2025,2,3
ORD-00484,2025-07-26,Headphones,Accessories,Islamabad,5,68.01,37.05,Corporate,Bank Transfer,Ayesha,340.05,185.25,154.8,45.52,2025,7,26
ORD-04413,2025-05-26,Headphones,Accessories,Faisalabad,5,150.49,73.04,Corporate,JazzCash,Ali,752.45,365.2,387.25,51.47,2025,5,26
ORD-06120,2025-02-27,Printer,Office,Peshawar,9,249.28,135.66,Corporate,Bank Transfer,Usman,2243.52,1220.94,1022.58,45.58,2025,2,27
ORD-04658,2025-12-08,Desk,Furniture,Islamabad,2,698.76,272.36,Corporate,Debit Card,Bilal,1397.52,544.72,852.8,61.02,2025,12,8
ORD-07388,2025-08-04,Headphones,Accessories,Peshawar,2,218.39,79.55,Retail Store,Credit Card,Zoya,436.78,159.1,277.68,63.57,2025,8,4
ORD-06163,2025-07-31,External SSD,Electronics,Multan,4,246.05,207.7,Retail Store,Bank Transfer,Hina,984.2,830.8,153.4,15.59,2025,7,31
ORD-04223,2025-08-17,Smartphone,Electronics,Lahore,10,453.96,365.47,Online,Credit Card,Maham,4539.6,3654.7,884.9,19.49,2025,8,17
ORD-09806,2025-02-19,Webcam,Accessories,Lahore,3,156.8,25.33,Online,Cash,Danish,470.4,75.99,394.41,83.85,2025,2,19
ORD-02426,2025-09-13,Smartphone,Electronics,Islamabad,1,337.18,229.66,Online,Cash,Ali,337.18,229.66,107.52,31.89,2025,9,13
ORD-00719,2025-08-19,Smartphone,Electronics,Sialkot,3,682.88,598.42,Corporate,Bank Transfer,Sara,2048.64,1795.26,253.38,12.37,2025,8,19
ORD-08458,2025-07-04,Wireless Mouse,Accessories,Sialkot,4,33.24,11.47,Corporate,Bank Transfer,Usman,132.96,45.88,87.08,65.49,2025,7,4
ORD-06118,2025-06-11,Monitor,Electronics,Sialkot,1,500.74,266.69,Retail Store,Debit Card,Maham,500.74,266.69,234.05,46.74,2025,6,11
ORD-08580,2025-08-12,Desk,Furniture,Peshawar,4,625.09,477.47,Corporate,Bank Transfer,Sara,2500.36,1909.88,590.48,23.62,2025,8,12
ORD-05101,2025-11-26,Keyboard,Accessories,Multan,4,38.05,21.45,Retail Store,Bank Transfer,Ayesha,152.2,85.8,66.4,43.63,2025,11,26
ORD-05782,2025-01-05,Smartphone,Electronics,Karachi,8,451.06,351.23,Retail Store,Credit Card,Ayesha,3608.48,2809.84,798.64,22.13,2025,1,5
ORD-06506,2025-07-06,Smartphone,Electronics,Faisalabad,3,549.71,447.45,Retail Store,Bank Transfer,Maham,1649.13,1342.35,306.78,18.6,2025,7,6
ORD-02233,2025-11-20,Headphones,Accessories,Multan,10,162.94,83.14,Corporate,Cash,Danish,1629.4,831.4,798.0,48.98,2025,11,20
ORD-01483,2025-03-24,Keyboard,Accessories,Faisalabad,6,83.8,69.08,Online,JazzCash,Hamza,502.8,414.48,88.32,17.57,2025,3,24
ORD-04394,2025-01-23,Wireless Mouse,Accessories,Peshawar,8,42.39,26.82,Online,JazzCash,Zoya,339.12,214.56,124.56,36.73,2025,1,23
ORD-05214,2025-06-20,Headphones,Accessories,Peshawar,3,195.82,82.72,Corporate,Bank Transfer,Zoya,587.46,248.16,339.3,57.76,2025,6,20
ORD-06068,2025-01-18,Headphones,Accessories,Faisalabad,5,141.81,64.95,Corporate,Credit Card,Usman,709.05,324.75,384.3,54.2,2025,1,18
ORD-08966,2025-03-24,Headphones,Accessories,Rawalpindi,10,64.24,41.79,Corporate,Credit Card,Maham,642.4,417.9,224.5,34.95,2025,3,24
ORD-08505,2025-07-12,Smartphone,Electronics,Faisalabad,10,1044.88,555.61,Corporate,JazzCash,Maham,10448.8,5556.1,4892.7,46.83,2025,7,12
ORD-04562,2025-02-26,Tablet,Electronics,Rawalpindi,3,784.44,268.76,Online,Bank Transfer,Hina,2353.32,806.28,1547.04,65.74,2025,2,26
ORD-02456,2025-03-26,Office Chair,Furniture,Karachi,10,188.24,146.07,Online,Credit Card,Maham,1882.4,1460.7,421.7,22.4,2025,3,26
ORD-08381,2025-07-15,Desk,Furniture,Multan,5,498.39,172.78,Online,JazzCash,Ayesha,2491.95,863.9,1628.05,65.33,2025,7,15
ORD-02261,2025-02-15,Laptop,Electronics,Sialkot,3,1411.86,706.58,Corporate,Bank Transfer,Ali,4235.58,2119.74,2115.84,49.95,2025,2,15
ORD-01108,2025-09-24,Headphones,Accessories,Lahore,1,61.28,32.93,Retail Store,Cash,Bilal,61.28,32.93,28.35,46.26,2025,9,24
ORD-09017,2025-10-11,Webcam,Accessories,Islamabad,1,138.12,85.54,Corporate,Debit Card,Usman,138.12,85.54,52.58,38.07,2025,10,11
ORD-00994,2025-02-08,Monitor,Electronics,Islamabad,1,464.18,164.78,Corporate,Cash,Maham,464.18,164.78,299.4,64.5,2025,2,8
ORD-05555,2025-05-10,Monitor,Electronics,Rawalpindi,7,484.87,274.85,Corporate,Debit Card,Usman,3394.09,1923.95,1470.14,43.31,2025,5,10
ORD-05730,2025-04-11,Printer,Office,Islamabad,2,264.93,187.07,Online,Debit Card,Ayesha,529.86,374.14,155.72,29.39,2025,4,11
ORD-08211,2025-10-27,Smartphone,Electronics,Islamabad,8,407.91,323.74,Retail Store,Credit Card,Danish,3263.28,2589.92,673.36,20.63,2025,10,27
ORD-09273,2025-08-27,Desk,Furniture,Rawalpindi,5,434.56,231.82,Retail Store,Bank Transfer,Bilal,2172.8,1159.1,1013.7,46.65,2025,8,27
ORD-09993,2025-07-21,External SSD,Electronics,Lahore,5,258.92,208.41,Retail Store,Cash,Hamza,1294.6,1042.05,252.55,19.51,2025,7,21
ORD-08084,2025-09-18,Tablet,Electronics,Sialkot,1,447.83,284.26,Retail Store,JazzCash,Danish,447.83,284.26,163.57,36.53,2025,9,18
ORD-02317,2025-11-17,Headphones,Accessories,Karachi,4,171.57,118.27,Online,Credit Card,Bilal,686.28,473.08,213.2,31.07,2025,11,17
ORD-02708,2025-06-16,Smartphone,Electronics,Multan,6,1196.67,463.15,Online,Credit Card,Danish,7180.02,2778.9,4401.12,61.3,2025,6,16
ORD-00796,2025-03-02,Office Chair,Furniture,Rawalpindi,1,327.16,133.0,Corporate,Bank Transfer,Sara,327.16,133.0,194.16,59.35,2025,3,2
ORD-07413,2025-07-21,Keyboard,Accessories,Karachi,8,61.8,52.76,Online,Credit Card,Usman,494.4,422.08,72.32,14.63,2025,7,21
ORD-04419,2025-09-17,Monitor,Electronics,Islamabad,8,440.12,169.62,Retail Store,Cash,Sara,3520.96,1356.96,2164.0,61.46,2025,9,17
ORD-00260,2025-05-23,Headphones,Accessories,Faisalabad,2,65.26,32.23,Corporate,Bank Transfer,Usman,130.52,64.46,66.06,50.61,2025,5,23
ORD-04289,2025-01-31,Monitor,Electronics,Faisalabad,1,406.6,192.68,Corporate,Credit Card,Ali,406.6,192.68,213.92,52.61,2025,1,31
ORD-02699,2025-11-18,Monitor,Electronics,Islamabad,1,241.54,177.95,Online,Bank Transfer,Bilal,241.54,177.95,63.59,26.33,2025,11,18
ORD-02883,2025-08-03,External SSD,Electronics,Sialkot,3,257.18,124.73,Online,JazzCash,Zoya,771.54,374.19,397.35,51.5,2025,8,3
ORD-00488,2025-05-05,Webcam,Accessories,Islamabad,1,137.07,84.76,Online,Cash,Hina,137.07,84.76,52.31,38.16,2025,5,5
ORD-09894,2025-04-05,Monitor,Electronics,Rawalpindi,6,283.28,166.1,Retail Store,Credit Card,Danish,1699.68,996.6,703.08,41.37,2025,4,5
ORD-04217,2025-10-03,Office Chair,Furniture,Islamabad,6,439.03,181.3,Online,Credit Card,Danish,2634.18,1087.8,1546.38,58.7,2025,10,3
ORD-08260,2025-08-18,Laptop,Electronics,Lahore,1,1031.48,717.85,Online,JazzCash,Hina,1031.48,717.85,313.63,30.41,2025,8,18
ORD-06311,2025-11-17,Headphones,Accessories,Faisalabad,5,50.79,35.57,Retail Store,JazzCash,Ali,253.95,177.85,76.1,29.97,2025,11,17
ORD-03039,2025-12-21,Office Chair,Furniture,Rawalpindi,6,199.27,138.98,Retail Store,Debit Card,Zoya,1195.62,833.88,361.74,30.26,2025,12,21
ORD-06913,2025-07-06,Keyboard,Accessories,Multan,3,93.92,52.86,Retail Store,Credit Card,Sara,281.76,158.58,123.18,43.72,2025,7,6
ORD-04956,2025-12-29,Office Chair,Furniture,Faisalabad,6,222.34,174.29,Retail Store,Bank Transfer,Ayesha,1334.04,1045.74,288.3,21.61,2025,12,29
ORD-00097,2025-02-22,Printer,Office,Multan,8,279.51,210.47,Corporate,Credit Card,Zoya,2236.08,1683.76,552.32,24.7,2025,2,22
ORD-06606,2025-09-04,Laptop,Electronics,Karachi,6,1089.72,897.59,Corporate,Credit Card,Usman,6538.32,5385.54,1152.78,17.63,2025,9,4
ORD-09191,2025-05-24,Keyboard,Accessories,Rawalpindi,6,113.67,40.71,Corporate,Debit Card,Usman,682.02,244.26,437.76,64.19,2025,5,24
ORD-03264,2025-07-15,Headphones,Accessories,Faisalabad,1,90.8,75.54,Corporate,Bank Transfer,Maham,90.8,75.54,15.26,16.81,2025,7,15
ORD-00120,2025-05-08,Smartphone,Electronics,Multan,6,1068.01,423.28,Retail Store,Debit Card,Ayesha,6408.06,2539.68,3868.38,60.37,2025,5,8
ORD-01447,2025-05-18,Laptop,Electronics,Islamabad,1,1402.61,988.93,Retail Store,Credit Card,Usman,1402.61,988.93,413.68,29.49,2025,5,18
ORD-09175,2025-03-08,Tablet,Electronics,Rawalpindi,3,726.75,554.63,Online,Credit Card,Zoya,2180.25,1663.89,516.36,23.68,2025,3,8
ORD-03464,2025-04-14,Office Chair,Furniture,Sialkot,1,248.58,170.73,Retail Store,Bank Transfer,Sara,248.58,170.73,77.85,31.32,2025,4,14
ORD-00034,2025-07-09,Smartphone,Electronics,Islamabad,2,584.34,456.16,Retail Store,Debit Card,Ayesha,1168.68,912.32,256.36,21.94,2025,7,9
